name;descr;code;locale
English;English;en;en
French;French;fr;en
German;German;de;en
anglais;anglais;en;fr
français;français;fr;fr
allemand;allemand;de;fr
Englisch;Englisch;en;de
Französisch;Französisch;fr;de
Deutsch;Deutsch;de;de
