code;locale;name;descr
EUR;en;Euro;Euro
EUR;de;Euro;Euro
JPY;en;Yen;Yen
JPY;de;Yen;Yen
USD;de;US-Dollar;US-Dollar
USD;en;US Dollar;US Dollar
BRL;de;Brasilianischer Real;Brasilianischer Real
BRL;en;Brazilian Real;Brazilian Real
